id,order_id,product_id,quantity,unit_price
794f0ce8-198b-4930-b57d-553ce2b96854,2a11f3b3-77d7-4fe4-8925-f2fd5dc2d304,f5db2bf9-a659-4ea3-8465-303c61a1361b,5,59.1
e17a5001-b38e-4b49-9333-604c453b395f,7b628197-cedc-4726-9f21-66c3284a59e4,bdd340ac-dcf1-498b-94a9-fc9778a19508,5,228.9
38f70386-cdb1-4a5d-9853-f4f15e7b4555,7b628197-cedc-4726-9f21-66c3284a59e4,5e27f26a-bd21-4599-95d4-7ba7976f6840,3,24.49
32edcda5-bac1-488d-9ff4-1501b9a7924f,7b628197-cedc-4726-9f21-66c3284a59e4,a94140a9-4330-46f7-bc5f-def72275bd73,1,319.32
0dfc7b85-1f50-4256-a552-9613d97f8f86,23c64d67-5363-44a7-9993-39fcd582a2bd,f11184f6-f9d3-4d2a-bd82-fa8692df3815,2,364.64
b6a7d187-33f6-4c77-a0ec-7564447f53ef,b34c0c2a-28ab-4393-a136-855a10b8660f,7c450ca1-dafd-440e-a65f-79b1dfe3ef06,1,450.56
59dc15dc-2a3a-495a-9afe-79640cf04b88,b34c0c2a-28ab-4393-a136-855a10b8660f,df8f12e0-08b9-4db6-a575-aae3c2b7222b,1,278.65
daed023a-e971-4ac7-9b81-d17e5eba61df,b34c0c2a-28ab-4393-a136-855a10b8660f,5e27f26a-bd21-4599-95d4-7ba7976f6840,1,24.49
14ca4ffd-7817-4d15-970b-0d4002addc0e,3bf3cf52-380a-45e0-a74e-9cccbc660067,d09c986a-5901-48ec-8918-f84ca8ce3569,3,307.64
b6598bd5-45c1-46e1-9845-8ad22ccb5188,3bf3cf52-380a-45e0-a74e-9cccbc660067,1144c0e0-370f-475a-8b7c-de08e3f24e8f,3,174.54
17d919f9-dcf8-4b51-acb0-849c51c60dfa,3bf3cf52-380a-45e0-a74e-9cccbc660067,3fd229ea-f26d-4be6-a6b7-4d7fa71c5895,2,382.48
abf476b6-3b97-4540-a590-5063473e0181,0199c234-37f2-4a30-96c9-77a085a5b432,86afb2cb-daa0-40e3-9d23-8f9952a72af0,4,195.78
2c52d245-399e-4b35-964e-b98dd0cc6ac3,0199c234-37f2-4a30-96c9-77a085a5b432,95456e09-503a-4d65-82a4-fb5cd45ee4d0,1,198.82
21986004-cfcf-4706-be3d-8ca0d2079e41,d6098413-292a-4d02-82e9-74eeba087ccc,f8d42459-c1df-4afc-80e7-24a161bac792,3,484.9
06aab99b-7f06-424d-ab07-010c0033c9b3,d6098413-292a-4d02-82e9-74eeba087ccc,b7e9821a-c228-4f87-a67e-137eafef727d,2,403.47
950d627b-09b7-4872-9335-e757e40e14bf,d6098413-292a-4d02-82e9-74eeba087ccc,8c576536-e9f4-4295-8ab0-aee56a823d8e,1,31.65
1cd4eb62-d899-4890-8506-bca7f4a86cf9,d6098413-292a-4d02-82e9-74eeba087ccc,84e75a2e-6020-4fcd-9277-14637e3ad6ed,5,230.32
b10d1474-2d0c-472c-bbcc-c94e0ba57ff9,843ab326-521e-47b4-a162-9c168a525f19,76f6a104-4b47-4e16-8de3-82400f160348,2,273.45
5b0bd51b-8c25-4c28-b4a1-d143ffef549f,c28924f0-b23a-4211-a486-4db4f8bd89c0,ce75dab1-6cc1-4ed1-aa21-517496ac8bf3,5,459.04
9f4b7876-4807-41cf-bb4b-85cc29d261cb,c28924f0-b23a-4211-a486-4db4f8bd89c0,ce75dab1-6cc1-4ed1-aa21-517496ac8bf3,2,459.04
a30ba102-1b54-4ba0-ae63-4df7dea8e54c,c28924f0-b23a-4211-a486-4db4f8bd89c0,1d45edd4-eb17-4f85-bf13-186646279891,5,279.49
19089d8f-8786-4ae7-847a-422f54298222,276b1f8d-1eb6-4f21-8955-b9d9d70cf5cf,5d0afcfb-fff0-4961-973c-570ef853bbed,1,401.98
b5fb8471-16ac-45a2-9d1f-3d979a317062,276b1f8d-1eb6-4f21-8955-b9d9d70cf5cf,50647642-ce9e-4187-80d5-2aed0761da97,3,27.69
7357dfab-0f40-49d7-977d-ad51b5770b29,276b1f8d-1eb6-4f21-8955-b9d9d70cf5cf,1144c0e0-370f-475a-8b7c-de08e3f24e8f,2,174.54
22f862e6-8181-43d5-9cc0-28024dfa7f98,276b1f8d-1eb6-4f21-8955-b9d9d70cf5cf,e8dc7d0b-2b3e-4400-b86f-fe441832c189,1,324.11
6a5ae8b5-89ee-46b4-a8b2-4624c6c7e14b,e5f9ea4a-177c-4cfe-8cb4-f6e2a52eedbc,e8dc7d0b-2b3e-4400-b86f-fe441832c189,1,324.11
391e7c10-18d8-4a84-ba9e-1dfb2cdad538,e5f9ea4a-177c-4cfe-8cb4-f6e2a52eedbc,86afb2cb-daa0-40e3-9d23-8f9952a72af0,1,195.78
